# 01:time 02:total_time 03:iteration 04:total_iteration 05:X 06:Y 07:curv_abs 008:Z
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -0.9999999999999998E-002 0.0000000000000000E+000  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -9.7979797979797957E-003  2.0202020202020150E-004  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -9.5959595959595933E-003  4.0404040404040477E-004  9.9999999999999982E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -9.3939393939393909E-003  6.0606060606060623E-004  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -9.1919191919191902E-003  8.0808080808080777E-004  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -8.9898989898989878E-003  1.0101010101010094E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -8.7878787878787871E-003  1.2121212121212110E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -8.5858585858585829E-003  1.4141414141414141E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -8.3838383838383823E-003  1.6161616161616157E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -8.1818181818181798E-003  1.8181818181818172E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -7.9797979797979774E-003  2.0202020202020207E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -7.7777777777777759E-003  2.2222222222222223E-003  9.9999999999999982E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -7.5757575757575743E-003  2.4242424242424238E-003  9.9999999999999982E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -7.3737373737373728E-003  2.6262626262626254E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -7.1717171717171694E-003  2.8282828282828283E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -6.9696969696969679E-003  3.0303030303030298E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -6.7676767676767664E-003  3.2323232323232313E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -6.5656565656565639E-003  3.4343434343434338E-003  9.9999999999999982E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -6.3636363636363624E-003  3.6363636363636353E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -6.1616161616161599E-003  3.8383838383838376E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -5.9595959595959584E-003  4.0404040404040397E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -5.7575757575757569E-003  4.2424242424242413E-003  9.9999999999999982E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -5.5555555555555544E-003  4.4444444444444437E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -5.3535353535353520E-003  4.6464646464646461E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -5.1515151515151504E-003  4.8484848484848477E-003  9.9999999999999982E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -4.9494949494949480E-003  5.0505050505050501E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -4.7474747474747465E-003  5.2525252525252517E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -4.5454545454545440E-003  5.4545454545454541E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -4.3434343434343416E-003  5.6565656565656565E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -4.1414141414141409E-003  5.8585858585858572E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -3.9393939393939385E-003  6.0606060606060596E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -3.7373737373737370E-003  6.2626262626262603E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -3.5353535353535345E-003  6.4646464646464627E-003  9.9999999999999982E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -3.3333333333333321E-003  6.6666666666666651E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -3.1313131313131301E-003  6.8686868686868676E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -2.9292929292929287E-003  7.0707070707070691E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -2.7272727272727270E-003  7.2727272727272707E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -2.5252525252525255E-003  7.4747474747474722E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -2.3232323232323230E-003  7.6767676767676746E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -2.1212121212121206E-003  7.8787878787878771E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -1.9191919191919188E-003  8.0808080808080795E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -1.7171717171717157E-003  8.2828282828282819E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -1.5151515151515157E-003  8.4848484848484826E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -1.3131313131313127E-003  8.6868686868686850E-003  9.9999999999999982E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -1.1111111111111111E-003  8.8888888888888875E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -9.0909090909090934E-004  9.0909090909090881E-003  9.9999999999999982E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -7.0707070707070620E-004  9.2929292929292923E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -5.0505050505050466E-004  9.4949494949494930E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -3.0303030303030311E-004  9.6969696969696954E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002 -1.0101010101010161E-004  9.8989898989898961E-003  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  1.0101010101010161E-004  1.0101010101010099E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  3.0303030303030311E-004  1.0303030303030302E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  5.0505050505050466E-004  1.0505050505050503E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  7.0707070707070789E-004  1.0707070707070707E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  9.0909090909090934E-004  1.0909090909090908E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  1.1111111111111111E-003  1.1111111111111109E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  1.3131313131313142E-003  1.1313131313131312E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  1.5151515151515157E-003  1.1515151515151513E-002  9.9999999999999982E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  1.7171717171717157E-003  1.1717171717171714E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  1.9191919191919172E-003  1.1919191919191916E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  2.1212121212121206E-003  1.2121212121212119E-002  9.9999999999999982E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  2.3232323232323222E-003  1.2323232323232320E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  2.5252525252525237E-003  1.2525252525252521E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  2.7272727272727270E-003  1.2727272727272724E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  2.9292929292929287E-003  1.2929292929292928E-002  1.0000000000000002E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  3.1313131313131314E-003  1.3131313131313131E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  3.3333333333333330E-003  1.3333333333333332E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  3.5353535353535345E-003  1.3535353535353533E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  3.7373737373737379E-003  1.3737373737373737E-002  1.0000000000000002E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  3.9393939393939394E-003  1.3939393939393938E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  4.1414141414141409E-003  1.4141414141414139E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  4.3434343434343407E-003  1.4343434343434340E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  4.5454545454545440E-003  1.4545454545454543E-002  9.9999999999999982E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  4.7474747474747456E-003  1.4747474747474744E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  4.9494949494949471E-003  1.4949494949494946E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  5.1515151515151504E-003  1.5151515151515148E-002  1.0000000000000002E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  5.3535353535353520E-003  1.5353535353535350E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  5.5555555555555535E-003  1.5555555555555553E-002  9.9999999999999982E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  5.7575757575757569E-003  1.5757575757575756E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  5.9595959595959602E-003  1.5959595959595960E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  6.1616161616161599E-003  1.6161616161616159E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  6.3636363636363633E-003  1.6363636363636362E-002  9.9999999999999982E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  6.5656565656565666E-003  1.6565656565656565E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  6.7676767676767664E-003  1.6767676767676764E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  6.9696969696969661E-003  1.6969696969696965E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  7.1717171717171694E-003  1.7171717171717169E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  7.3737373737373728E-003  1.7373737373737371E-002  9.9999999999999982E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  7.5757575757575725E-003  1.7575757575757570E-002  9.9999999999999982E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  7.7777777777777759E-003  1.7777777777777775E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  7.9797979797979792E-003  1.7979797979797977E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  8.1818181818181781E-003  1.8181818181818179E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  8.3838383838383823E-003  1.8383838383838382E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  8.5858585858585847E-003  1.8585858585858584E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  8.7878787878787854E-003  1.8787878787878785E-002  1.0000000000000002E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  8.9898989898989878E-003  1.8989898989898987E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  9.1919191919191920E-003  1.9191919191919190E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  9.3939393939393909E-003  1.9393939393939392E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  9.5959595959595915E-003  1.9595959595959591E-002  9.9999999999999982E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  9.7979797979797940E-003  1.9797979797979794E-002  1.0000000000000000E+000
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   5.0000000000000000E-002  0.9999999999999998E-002  1.9999999999999998E-002  1.0000000000000002E+000
&
